11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 0]",17.8,245608725,557056000,0.440904909,,,,,,,,,,,,
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 1, 0, 0]",18,245431275,557056000,0.440586359,,,,,,,,,,,,
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0]",18.5,244844790,557056000,0.43953353,,,,,,,,,,,,
"[1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0]",18.5,244759100,557056000,0.439379703,,,,,,,,,,,,
"[1, 0, 0, 1, 1, 2, 0, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0]",18.9,244369242,557056000,0.438679849,,,,,,,,,,,,
"[1, 0, 0, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0]",18.5,243902063,557056000,0.437841192,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0]",19.2,243558153,557056000,0.437223821,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 3, 1, 1, 0]",20,243309375,557056000,0.436777227,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 3, 2, 1, 0]",21,243053800,557056000,0.436318431,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 3, 3, 1, 0]",20.8,242736948,557056000,0.435749634,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 3, 3, 2, 0]",21.6,242151325,557056000,0.434698352,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 3, 3, 3, 0]",21.9,241829813,557056000,0.434121189,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 3, 3, 4, 0]",21.7,241734122,557056000,0.433949409,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 0, 0, 3, 4, 4, 0]",21.4,241084868,557056000,0.4327839,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 1, 0, 3, 4, 4, 0]",21.2,240970621,557056000,0.432578809,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 2, 0, 3, 4, 4, 0]",20.4,240722219,557056000,0.43213289,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 3, 0, 3, 4, 4, 0]",20.1,240402907,557056000,0.431559676,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 4, 0, 3, 4, 4, 0]",21,237353441,557056000,0.426085422,,,,,,,,,,,,
"[1, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 5, 0, 3, 4, 4, 0]",20.8,237232242,557056000,0.425867852,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 5, 0, 3, 4, 4, 0]",20.6,237010469,557056000,0.425469736,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 5, 0, 4, 4, 4, 0]",19.4,235904676,557056000,0.423484669,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 5, 0, 5, 4, 4, 0]",19.5,235848719,557056000,0.423384218,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 2, 1, 0, 1, 0, 2, 5, 0, 6, 4, 4, 0]",19.8,235783006,557056000,0.423266253,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 3, 1, 0, 1, 0, 2, 5, 0, 6, 4, 4, 0]",19.8,235554154,557056000,0.422855429,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 4, 1, 0, 1, 0, 2, 5, 0, 6, 4, 4, 0]",21.4,229323981,557056000,0.411671324,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 5, 1, 0, 1, 0, 2, 5, 0, 6, 4, 4, 0]",22.1,229157594,557056000,0.411372634,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 6, 1, 0, 1, 0, 2, 5, 0, 6, 4, 4, 0]",22.7,229013931,557056000,0.411114737,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 7, 1, 0, 1, 0, 2, 5, 0, 6, 4, 4, 0]",23.1,228790164,557056000,0.410713041,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 7, 1, 0, 1, 0, 2, 5, 1, 6, 4, 4, 0]",24.1,228444448,557056000,0.410092429,,,,,,,,,,,,
"[2, 0, 1, 1, 1, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",25.1,227900406,557056000,0.409115791,,,,,,,,,,,,
"[2, 0, 1, 1, 2, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",24.5,227734856,557056000,0.408818604,,,,,,,,,,,,
"[2, 0, 1, 1, 3, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",25.4,227520812,557056000,0.408434362,,,,,,,,,,,,
"[2, 0, 1, 1, 4, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",25.3,221836530,557056000,0.398230214,,,,,,,,,,,,
"[2, 0, 1, 1, 5, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",25.6,221765708,557056000,0.398103078,,,,,,,,,,,,
"[2, 0, 1, 1, 6, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",24.7,221546516,557056000,0.397709595,,,,,,,,,,,,
"[2, 0, 1, 1, 7, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",25.5,221220063,557056000,0.397123562,,,,,,,,,,,,
"[2, 0, 1, 1, 8, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",25.7,221105162,557056000,0.396917297,,,,,,,,,,,,
"[2, 0, 1, 1, 9, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",25.8,220939967,557056000,0.396620747,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 0]",26,220744715,557056000,0.39627024,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 1]",26.1,220633325,557056000,0.396070278,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 2]",26.1,220503399,557056000,0.395837042,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 3]",26,220399292,557056000,0.395650154,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 4]",26.1,219961565,557056000,0.394864367,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 5]",26.1,219921215,557056000,0.394791933,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 5, 2, 6, 4, 4, 6]",26.1,219893365,557056000,0.394741938,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 6, 2, 6, 4, 4, 6]",24.6,219806977,557056000,0.394586858,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 6, 3, 6, 4, 4, 6]",24.4,219492274,557056000,0.394021919,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 1, 0, 2, 6, 4, 6, 4, 4, 6]",25.8,216824401,557056000,0.389232682,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 2, 0, 2, 6, 4, 6, 4, 4, 6]",25.5,217017527,557056000,0.389579373,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 3, 0, 2, 6, 4, 6, 4, 4, 6]",24.7,216858789,557056000,0.389294414,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 4, 0, 2, 6, 4, 6, 4, 4, 6]",25.8,211342420,557056000,0.379391695,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 0, 2, 6, 4, 6, 4, 4, 6]",25.6,211371788,557056000,0.379444415,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 1, 2, 6, 4, 6, 4, 4, 6]",25.2,211188407,557056000,0.379115218,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 2, 2, 6, 4, 6, 4, 4, 6]",26.3,210770247,557056000,0.378364558,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 2, 2, 6, 4, 6, 4, 5, 6]",27.5,210606656,557056000,0.378070887,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 2, 2, 6, 4, 6, 4, 6, 6]",28.6,210474432,557056000,0.377833525,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 2, 2, 6, 4, 6, 4, 7, 6]",28.8,210427139,557056000,0.377748627,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 2, 2, 6, 4, 6, 4, 8, 6]",28.6,210355525,557056000,0.377620069,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 1, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",28.9,210334683,557056000,0.377582654,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 2, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",28.8,209598921,557056000,0.37626185,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 3, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",28.8,209388554,557056000,0.375884209,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 4, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",29.7,203224482,557056000,0.364818765,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 5, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",30,202577824,557056000,0.363657916,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 6, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",30.3,202581998,557056000,0.363665409,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 7, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",32.2,202361822,557056000,0.36327016,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 2, 2, 6, 4, 6, 4, 9, 6]",31.8,202224779,557056000,0.363024147,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 3, 2, 6, 4, 6, 4, 9, 6]",31.3,201959674,557056000,0.362548243,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 4, 2, 6, 4, 6, 4, 9, 6]",37,198713824,557056000,0.35672145,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 5, 2, 6, 4, 6, 4, 9, 6]",37.7,198538937,557056000,0.356407501,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 6, 2, 6, 4, 6, 4, 9, 6]",38.9,198395814,557056000,0.356150574,,,,,,,,,,,,
"[2, 0, 1, 1, 10, 7, 8, 0, 5, 7, 2, 6, 4, 6, 4, 9, 6]",39.4,198315753,557056000,0.356006852,,,,,,,,,,,,
"[2, 0, 2, 1, 10, 7, 8, 0, 5, 7, 2, 6, 4, 6, 4, 9, 6]",37.6,198126528,557056000,0.355667165,,,,,,,,,,,,
"[2, 0, 2, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",37.1,198026545,557056000,0.35548768,,,,,,,,,,,,
"[2, 0, 3, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",35.2,197809476,557056000,0.355098008,,,,,,,,,,,,
"[2, 0, 4, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",45.4,187453314,557056000,0.336507127,,,,,,,,,,,,
"[2, 0, 5, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",41.1,187396661,557056000,0.336405426,,,,,,,,,,,,
"[2, 0, 6, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",46.4,186945413,557056000,0.335595367,,,,,,,,,,,,
"[2, 0, 7, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.8,186463834,557056000,0.33473086,,,,,,,,,,,,
"[2, 0, 8, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.5,186352527,557056000,0.334531047,,,,,,,,,,,,
"[2, 0, 9, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.4,186249533,557056000,0.334346157,,,,,,,,,,,,
"[2, 0, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 4, 9, 6]",49.9,185858493,557056000,0.333644181,,,,,,,,,,,,
"[2, 0, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 5, 9, 6]",53.3,185665467,557056000,0.33329767,,,,,,,,,,,,
"[2, 0, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",53.2,185581780,557056000,0.333147439,,,,,,,,,,,,
"[2, 1, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",52.5,185257539,557056000,0.332565378,,,,,,,,,,,,
"[2, 2, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",52.6,184012284,557056000,0.330329956,,,,,,,,,,,,
"[2, 3, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",52.6,183888158,557056000,0.330107131,,,,,,,,,,,,
"[2, 4, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",55.2,175530820,557056000,0.315104442,,,,,,,,,,,,
"[2, 5, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",55.3,175036462,557056000,0.314216994,,,,,,,,,,,,
"[2, 6, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",55.6,174788692,557056000,0.31377221,,,,,,,,,,,,
"[2, 7, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",56.9,174487113,557056000,0.31323083,,,,,,,,,,,,
"[2, 8, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",57,174347229,557056000,0.312979717,,,,,,,,,,,,
"[2, 9, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",57.5,174164806,557056000,0.31265224,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 0, 5, 8, 2, 6, 4, 6, 6, 9, 6]",57.5,174013519,557056000,0.312380657,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 1, 5, 8, 2, 6, 4, 6, 6, 9, 6]",58.2,173761991,557056000,0.311929126,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 2, 5, 8, 2, 6, 4, 6, 6, 9, 6]",59,172975157,557056000,0.310516639,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 3, 5, 8, 2, 6, 4, 6, 6, 9, 6]",58.4,172657425,557056000,0.309946262,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 4, 5, 8, 2, 6, 4, 6, 6, 9, 6]",62.6,165809148,557056000,0.297652566,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 5, 5, 8, 2, 6, 4, 6, 6, 9, 6]",63.5,165373974,557056000,0.296871363,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 6, 5, 8, 2, 6, 4, 6, 6, 9, 6]",65.4,165221267,557056000,0.296597231,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 7, 5, 8, 2, 6, 4, 6, 6, 9, 6]",67.5,165071937,557056000,0.296329161,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 8, 5, 8, 2, 6, 4, 6, 6, 9, 6]",66.6,164969463,557056000,0.296145204,,,,,,,,,,,,
"[2, 10, 10, 1, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",68.1,164896924,557056000,0.296014986,,,,,,,,,,,,
"[2, 10, 10, 2, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",66.4,163617687,557056000,0.293718562,,,,,,,,,,,,
"[2, 10, 10, 3, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",67.2,163172223,557056000,0.292918886,,,,,,,,,,,,
"[2, 10, 10, 4, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",73.3,150015274,557056000,0.269300167,,,,,,,,,,,,
"[2, 10, 10, 5, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",73.8,149352437,557056000,0.268110274,,,,,,,,,,,,
"[2, 10, 10, 6, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",79,148812384,557056000,0.267140797,,,,,,,,,,,,
"[2, 10, 10, 7, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",81.9,147991639,557056000,0.265667436,,,,,,,,,,,,
"[2, 10, 10, 8, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",82.3,147540724,557056000,0.264857975,,,,,,,,,,,,
"[2, 10, 10, 9, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",82.2,147166118,557056000,0.2641855,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 9, 6]",82.6,146365645,557056000,0.26274853,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 7, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",82.7,146309360,557056000,0.26264749,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 8, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",82.3,146156621,557056000,0.2623733,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 9, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",82.7,146059578,557056000,0.262199093,,,,,,,,,,,,
"[2, 10, 10, 10, 10, 10, 8, 9, 5, 8, 2, 6, 4, 6, 6, 10, 6]",83.3,145865034,557056000,0.261849857,,,,,,,,,,,,
